year,playlist_genre,count
1955,rock-and-roll,1
1956,arkansas country,1
1956,calypso,1
1956,rock-and-roll,1
1957,blues,1
1958,adult standards,2
1958,chicago soul,1
1958,classic rock,4
1958,doo-wop,2
1958,rock-and-roll,7
1959,adult standards,3
1959,bebop,1
1959,blues,1
1959,classic soul,2
1959,louisiana blues,1
1959,rock-and-roll,1
1960,adult standards,1
1960,album rock,1
1960,chicago soul,2
1960,classic soul,1
1960,jazz blues,3
1960,rock-and-roll,2
1961,adult standards,1
1961,blues,1
1961,classic soul,2
1961,memphis soul,1
1961,piano rock,1
1961,rock-and-roll,5
1962,adult standards,9
1962,american folk revival,1
1962,baroque pop,1
1962,blues,1
1962,classic girl group,4
1962,classic soul,2
1962,merseybeat,1
1962,motown,1
1962,rock-and-roll,5
1962,traditional country,1
1963,adult standards,11
1963,american folk revival,3
1963,arkansas country,1
1963,baroque pop,4
1963,beach music,1
1963,brill building pop,7
1963,british blues,1
1963,british invasion,6
1963,chicago soul,2
1963,classic country pop,2
1963,classic girl group,1
1963,classic rock,1
1963,classic soul,7
1963,country,1
1963,doo-wop,3
1963,memphis blues,1
1963,rock-and-roll,4
1964,adult standards,14
1964,album rock,8
1964,american folk revival,1
1964,baroque pop,2
1964,beatlesque,2
1964,blues,1
1964,british blues,1
1964,british invasion,14
1964,bubblegum pop,2
1964,classic australian country,1
1964,classic rock,1
1964,classic soul,3
1964,cowboy western,1
1964,easy listening,1
1964,merseybeat,1
1965,adult standards,10
1965,album rock,12
1965,australian rock,3
1965,baroque pop,1
1965,british folk,2
1965,british invasion,7
1965,bubblegum pop,2
1965,classic country pop,1
1965,classic girl group,1
1965,classic oklahoma country,1
1965,classic rock,2
1965,classic soul,2
1965,doo-wop,1
1965,folk rock,1
1965,rock-and-roll,1
1966,adult standards,5
1966,album rock,9
1966,australian rock,6
1966,baroque pop,1
1966,beatlesque,2
1966,british blues,4
1966,british folk,1
1966,british invasion,5
1966,bubblegum pop,1
1966,classic australian country,2
1966,classic garage rock,1
1966,classic rock,8
1966,classic soul,5
1966,dance pop,1
1966,disco,1
1966,easy listening,2
1966,lounge,3
1966,military cadence,1
1966,novelty,1
1966,soul,1
1967,acid rock,3
1967,adult standards,7
1967,album rock,8
1967,australian rock,1
1967,baroque pop,1
1967,beatlesque,1
1967,blues rock,2
1967,british blues,2
1967,british folk,2
1967,british invasion,7
1967,bubblegum pop,6
1967,classic rock,5
1967,classic soul,7
1967,country rock,1
1967,disco,2
1967,easy listening,1
1967,hammond organ,1
1967,jazz blues,1
1967,new orleans jazz,1
1967,rock-and-roll,1
1968,acid rock,6
1968,adult standards,12
1968,album rock,8
1968,australian rock,1
1968,baroque pop,1
1968,beatlesque,1
1968,blues,1
1968,blues rock,2
1968,brill building pop,1
1968,british blues,1
1968,british folk,1
1968,british invasion,5
1968,bubblegum pop,8
1968,classic girl group,1
1968,classic rock,2
1968,classic soul,4
1968,classic uk pop,2
1968,country,1
1968,disco,5
1968,easy listening,1
1968,lounge,2
1968,rock-and-roll,2
1969,acid rock,1
1969,adult standards,7
1969,album rock,16
1969,art rock,2
1969,australian country,1
1969,baroque pop,3
1969,british blues,1
1969,british folk,1
1969,british invasion,3
1969,bubblegum pop,4
1969,classic soul,2
1969,classic uk pop,3
1969,disco,1
1969,hardcore techno,1
1969,motown,2
1969,nederpop,1
1969,northern soul,1
1969,rock-and-roll,5
1969,zolo,1
1970,acid rock,1
1970,adult standards,6
1970,album rock,24
1970,arkansas country,1
1970,british blues,2
1970,british folk,3
1970,british invasion,3
1970,broadway,1
1970,bubblegum pop,2
1970,canadian singer-songwriter,1
1970,chicago soul,1
1970,classic country pop,2
1970,classic rock,6
1970,country gospel,1
1970,country rock,1
1970,disco,3
1970,glam rock,2
1970,jamaican ska,1
1970,motown,2
1970,rock progressif francais,1
1970,rock-and-roll,2
1970,soft rock,1
1970,soul,1
1970,volksmusik,1
1971,acid rock,2
1971,adult standards,5
1971,album rock,18
1971,american folk revival,1
1971,art rock,1
1971,australian rock,3
1971,brill building pop,1
1971,british folk,1
1971,classic country pop,1
1971,classic rock,9
1971,classic soul,2
1971,country rock,2
1971,dance pop,1
1971,disco,1
1971,mellow gold,2
1971,motown,4
1971,new orleans soul,1
1971,psychedelic blues-rock,1
1971,rock-and-roll,1
1971,soft rock,1
1972,adult standards,6
1972,album rock,16
1972,australian pop,2
1972,australian rock,1
1972,beatlesque,1
1972,blues,1
1972,british invasion,1
1972,bubblegum pop,5
1972,canadian singer-songwriter,2
1972,classic country pop,1
1972,classic rock,7
1972,classic soul,2
1972,classic uk pop,1
1972,country rock,1
1972,disco,1
1972,folk,1
1972,folk rock,2
1972,glam rock,1
1972,mellow gold,3
1972,motown,2
1972,psychedelic blues-rock,1
1972,r&b,1
1972,soft rock,1
1972,sunshine pop,1
1973,adult standards,7
1973,album rock,24
1973,arkansas country,1
1973,art rock,1
1973,banjo,1
1973,blues rock,1
1973,british folk,1
1973,british invasion,3
1973,bubblegum pop,1
1973,classic girl group,1
1973,classic rock,9
1973,classic soul,1
1973,classic swedish pop,2
1973,classic uk pop,2
1973,country rock,1
1973,dance pop,1
1973,disco,1
1973,europop,1
1973,glam rock,11
1973,heartland rock,2
1973,library music,1
1973,mellow gold,1
1973,motown,1
1973,progressive rock,1
1973,rock-and-roll,1
1973,soft rock,1
1974,adult standards,11
1974,album rock,15
1974,art rock,1
1974,australian rock,8
1974,broadway,1
1974,bubblegum pop,5
1974,bush ballad,1
1974,canadian country,1
1974,classic country pop,4
1974,classic rock,5
1974,classic soul,3
1974,classic uk pop,1
1974,country rock,1
1974,disco,3
1974,europop,1
1974,glam rock,5
1974,hard rock,1
1974,mellow gold,1
1974,rock-and-roll,1
1975,adult standards,6
1975,album rock,17
1975,australian rock,4
1975,blues rock,1
1975,bubblegum pop,1
1975,classic country pop,3
1975,classic nz pop,1
1975,classic rock,6
1975,classic swedish pop,1
1975,classic uk pop,3
1975,disco,5
1975,europop,5
1975,glam rock,6
1975,heartland rock,1
1975,mellow gold,7
1975,nederpop,1
1975,new wave pop,1
1975,progressive rock,1
1976,a cappella,1
1976,adult standards,2
1976,album rock,26
1976,australian rock,9
1976,blues rock,1
1976,british blues,1
1976,bubblegum pop,3
1976,canadian singer-songwriter,1
1976,candy pop,1
1976,classic country pop,2
1976,classic rock,6
1976,classic soul,1
1976,deep soft rock,3
1976,disco,4
1976,europop,7
1976,glam rock,3
1976,mellow gold,4
1976,motown,2
1976,nederpop,1
1976,soft rock,2
1976,southern soul,2
1976,theme,1
1977,adult standards,6
1977,album rock,30
1977,alternative rock,1
1977,art rock,1
1977,australian rock,2
1977,brill building pop,1
1977,british folk,1
1977,broadway,1
1977,bubblegum pop,7
1977,classic country pop,1
1977,classic rock,6
1977,classic soul,1
1977,classic uk pop,2
1977,country rock,1
1977,disco,5
1977,europop,1
1977,glam rock,1
1977,hammond organ,1
1977,mellow gold,1
1977,merseybeat,1
1977,reggae,1
1977,rock-and-roll,1
1977,soft rock,3
1977,southern rock,3
1977,yacht rock,1
1978,adult standards,8
1978,album rock,38
1978,art pop,1
1978,art punk,1
1978,art rock,1
1978,australian rock,8
1978,brit funk,1
1978,candy pop,2
1978,classic rock,5
1978,classic soul,3
1978,classic uk pop,1
1978,country rock,1
1978,disco,13
1978,europop,1
1978,glam rock,3
1978,hammond organ,1
1978,hollywood,1
1978,mellow gold,1
1978,new wave pop,2
1978,reggae,1
1978,yacht rock,1
1979,adult standards,2
1979,album rock,19
1979,australian dance,1
1979,australian rock,8
1979,beatlesque,1
1979,candy pop,1
1979,classic country pop,1
1979,classic nz pop,1
1979,classic uk pop,1
1979,deep soft rock,1
1979,disco,18
1979,early synthpop,1
1979,europop,2
1979,folk,1
1979,funk,2
1979,glam rock,2
1979,hi-nrg,1
1979,mellow gold,2
1979,new romantic,2
1979,pub rock,1
1979,r&b,2
1979,rockabilly,1
1979,synthpop,1
1979,theme,1
1979,yacht rock,2
1980,adult standards,4
1980,album rock,17
1980,alternative rock,2
1980,art pop,1
1980,art rock,1
1980,australian rock,9
1980,classic canadian rock,1
1980,classic country pop,2
1980,classic nz pop,1
1980,classic rock,9
1980,classic uk pop,1
1980,disco,6
1980,early synthpop,3
1980,europop,3
1980,glam rock,4
1980,hi-nrg,1
1980,mod revival,1
1980,motown,1
1980,soft rock,3
1980,zolo,1
1981,adult standards,1
1981,album rock,31
1981,art rock,1
1981,australian country,2
1981,australian dance,1
1981,australian rock,4
1981,britpop,1
1981,candy pop,3
1981,classic nz pop,1
1981,classic rock,2
1981,classic uk pop,3
1981,dance rock,3
1981,disco,4
1981,german show tunes,1
1981,glam punk,1
1981,glam rock,1
1981,heartland rock,3
1981,instrumental surf,1
1981,jazz funk,1
1981,mellow gold,2
1981,new romantic,8
1981,rock drums,1
1981,soft rock,2
1981,solo wave,1
1981,yacht rock,1
1982,adult standards,1
1982,album rock,18
1982,alternative metal,1
1982,alternative rock,5
1982,art rock,1
1982,australian children's music,2
1982,australian rock,16
1982,brit funk,1
1982,britpop,1
1982,bronx hip hop,1
1982,classic nz pop,2
1982,classic rock,3
1982,classic soul,1
1982,classic uk pop,2
1982,contemporary r&b,1
1982,dance rock,2
1982,disco,2
1982,funk,1
1982,glam rock,1
1982,mellow gold,1
1982,new romantic,8
1982,new wave pop,3
1982,philly soul,1
1982,rock drums,1
1982,soft rock,2
1982,theme,1
1982,yacht rock,1
1983,acoustic punk,1
1983,adult standards,1
1983,album rock,22
1983,art rock,2
1983,australian rock,6
1983,australian ska,1
1983,boy band,1
1983,britpop,1
1983,classic nz pop,2
1983,classic rock,1
1983,classic soul,1
1983,contemporary post-bop,1
1983,dance pop,6
1983,dance rock,3
1983,disco,2
1983,french synthpop,1
1983,girl group,1
1983,glam rock,4
1983,hi-nrg,2
1983,mellow gold,1
1983,mod revival,1
1983,new romantic,10
1983,new wave,1
1983,new wave pop,1
1983,reggae,1
1983,reggae fusion,1
1983,soft rock,2
1984,album rock,27
1984,australian rock,4
1984,british invasion,1
1984,canadian pop,3
1984,classic girl group,2
1984,classic nz pop,1
1984,classic rock,5
1984,contemporary r&b,1
1984,coventry indie,1
1984,dance pop,3
1984,dance rock,1
1984,disco,6
1984,europop,1
1984,funk,1
1984,german pop,1
1984,german soundtrack,1
1984,glam metal,1
1984,glam rock,1
1984,heartland rock,3
1984,hi-nrg,1
1984,irish rock,2
1984,mellow gold,1
1984,new romantic,14
1984,new wave pop,1
1984,rock-and-roll,1
1984,soft rock,1
1985,adult standards,2
1985,album rock,23
1985,alternative rock,1
1985,art pop,1
1985,australian alternative rock,1
1985,australian rock,18
1985,austropop,1
1985,baroque pop,1
1985,british soul,1
1985,celtic rock,1
1985,classic nz pop,1
1985,classic rock,1
1985,classic schlager,1
1985,classic soul,2
1985,classic uk pop,1
1985,contemporary r&b,1
1985,dance pop,4
1985,dance rock,5
1985,disco,2
1985,funk,1
1985,glam rock,1
1985,hi-nrg,1
1985,motown,2
1985,musical advocacy,2
1985,new romantic,7
1985,new wave,1
1985,new wave pop,5
1985,philly indie,2
1985,power pop,3
1985,reggae fusion,1
1985,rock drums,5
1985,yacht rock,1
1986,album rock,25
